Broken_Sets,Budding,Closed,Device,Open,Out_of_Sequence,Out_of_sequence,Plant,Setting,Test_Day,Test_Month,Test_Year,Total_flowers,Transition_B_to_O,Truss
0.0,5.0,0.0,2,0.0,0,,10,0.0,19,2,2016,8.0,3.0,101
0.0,7.0,0.0,2,0.0,0,,11,0.0,19,2,2016,7.0,0.0,201
0.0,7.0,0.0,2,0.0,0,,11,0.0,19,2,2016,7.0,0.0,101
0.0,6.0,0.0,2,0.0,0,,12,0.0,19,2,2016,8.0,2.0,201
0.0,5.0,0.0,2,0.0,0,,12,0.0,19,2,2016,8.0,3.0,101
0.0,7.0,0.0,2,0.0,0,,13,0.0,19,2,2016,7.0,0.0,201
0.0,5.0,0.0,2,0.0,0,,13,0.0,19,2,2016,7.0,2.0,101
0.0,8.0,0.0,2,0.0,0,,14,0.0,19,2,2016,8.0,0.0,201
0.0,4.0,0.0,2,0.0,0,,14,0.0,19,2,2016,7.0,3.0,101
0.0,23.0,0.0,3,0.0,0,,1,0.0,19,2,2016,29.0,6.0,201
0.0,21.0,0.0,3,0.0,0,,1,0.0,19,2,2016,27.0,6.0,101
0.0,13.0,0.0,3,0.0,0,,2,0.0,19,2,2016,13.0,0.0,201
0.0,13.0,0.0,3,0.0,0,,2,0.0,19,2,2016,13.0,0.0,101
0.0,12.0,0.0,3,0.0,0,,3,0.0,19,2,2016,12.0,0.0,201
0.0,12.0,0.0,3,0.0,0,,3,0.0,19,2,2016,15.0,3.0,101
0.0,22.0,0.0,3,0.0,0,,4,0.0,19,2,2016,28.0,6.0,101
0.0,12.0,0.0,3,0.0,0,,4,0.0,19,2,2016,14.0,2.0,201
0.0,23.0,0.0,3,0.0,0,,5,0.0,19,2,2016,27.0,4.0,101
0.0,14.0,0.0,3,0.0,0,,5,0.0,19,2,2016,16.0,2.0,201
0.0,14.0,0.0,3,0.0,0,,6,0.0,19,2,2016,16.0,2.0,101
0.0,13.0,0.0,3,0.0,0,,6,0.0,19,2,2016,14.0,1.0,201
0.0,22.0,0.0,3,0.0,0,,7,0.0,19,2,2016,26.0,4.0,101
0.0,21.0,0.0,3,0.0,0,,7,0.0,19,2,2016,24.0,3.0,201
0.0,23.0,0.0,3,0.0,0,,8,0.0,19,2,2016,25.0,2.0,101
0.0,11.0,0.0,3,0.0,0,,8,0.0,19,2,2016,13.0,2.0,201
0.0,6.0,0.0,3,0.0,0,,9,0.0,19,2,2016,8.0,2.0,101
0.0,7.0,0.0,3,0.0,0,,9,0.0,19,2,2016,7.0,0.0,201
0.0,6.0,0.0,3,0.0,0,,10,0.0,19,2,2016,7.0,1.0,101
0.0,7.0,0.0,3,0.0,0,,10,0.0,19,2,2016,7.0,0.0,201
0.0,5.0,0.0,3,0.0,0,,11,0.0,19,2,2016,6.0,1.0,101
0.0,8.0,0.0,3,0.0,0,,11,0.0,19,2,2016,8.0,0.0,201
0.0,6.0,0.0,3,0.0,0,,12,0.0,19,2,2016,7.0,1.0,101
0.0,7.0,0.0,3,0.0,0,,12,0.0,19,2,2016,7.0,0.0,201
0.0,7.0,0.0,3,0.0,0,,13,0.0,19,2,2016,8.0,1.0,101
0.0,7.0,0.0,3,0.0,0,,13,0.0,19,2,2016,7.0,0.0,201
0.0,6.0,0.0,3,0.0,0,,14,0.0,19,2,2016,7.0,1.0,101
0.0,8.0,0.0,3,0.0,0,,14,0.0,19,2,2016,8.0,0.0,201
0.0,5.0,0.0,4,0.0,0,,1,0.0,19,2,2016,8.0,3.0,101
0.0,6.0,0.0,4,0.0,0,,1,0.0,19,2,2016,7.0,1.0,201
0.0,5.0,0.0,4,0.0,0,,2,0.0,19,2,2016,5.0,0.0,101
0.0,5.0,0.0,4,0.0,0,,2,0.0,19,2,2016,5.0,0.0,201
0.0,5.0,0.0,4,0.0,0,,3,0.0,19,2,2016,6.0,1.0,101
0.0,12.0,0.0,4,0.0,0,,3,0.0,19,2,2016,14.0,2.0,201
0.0,8.0,0.0,4,0.0,0,,4,0.0,19,2,2016,8.0,0.0,101
0.0,8.0,0.0,4,0.0,0,,4,0.0,19,2,2016,8.0,0.0,201
0.0,6.0,0.0,4,0.0,0,,5,0.0,19,2,2016,6.0,0.0,101
0.0,8.0,0.0,4,0.0,0,,5,0.0,19,2,2016,8.0,0.0,201
0.0,6.0,0.0,4,0.0,0,,6,0.0,19,2,2016,6.0,0.0,101
0.0,15.0,0.0,4,0.0,0,,6,0.0,19,2,2016,16.0,1.0,201
0.0,5.0,0.0,4,0.0,0,,7,0.0,19,2,2016,7.0,2.0,101
0.0,7.0,0.0,4,0.0,0,,7,0.0,19,2,2016,7.0,0.0,201
0.0,6.0,0.0,4,0.0,0,,8,0.0,19,2,2016,6.0,0.0,101
0.0,6.0,0.0,4,0.0,0,,8,0.0,19,2,2016,7.0,1.0,201
0.0,7.0,0.0,4,0.0,0,,9,0.0,19,2,2016,7.0,0.0,101
0.0,10.0,0.0,5,0.0,0,,1,0.0,19,2,2016,14.0,4.0,101
0.0,10.0,0.0,5,0.0,0,,1,0.0,19,2,2016,12.0,2.0,201
0.0,7.0,0.0,5,0.0,0,,2,0.0,19,2,2016,8.0,1.0,101
0.0,7.0,0.0,5,0.0,0,,2,0.0,19,2,2016,8.0,1.0,201
0.0,8.0,0.0,5,0.0,0,,3,0.0,19,2,2016,9.0,1.0,101
0.0,8.0,0.0,5,0.0,0,,3,0.0,19,2,2016,10.0,2.0,201
0.0,13.0,0.0,5,2.0,0,,4,0.0,19,2,2016,21.0,6.0,101
0.0,10.0,0.0,5,1.0,0,,4,0.0,19,2,2016,14.0,3.0,201
0.0,14.0,0.0,5,0.0,0,,5,0.0,19,2,2016,20.0,6.0,101
0.0,14.0,0.0,5,4.0,0,,5,0.0,19,2,2016,24.0,6.0,201
0.0,8.0,0.0,5,0.0,0,,6,0.0,19,2,2016,8.0,0.0,101
0.0,6.0,0.0,5,1.0,0,,6,0.0,19,2,2016,9.0,2.0,201
0.0,5.0,0.0,5,0.0,0,,7,0.0,19,2,2016,6.0,1.0,101
0.0,8.0,0.0,5,0.0,0,,7,0.0,19,2,2016,9.0,1.0,201
0.0,0.0,0.0,5,0.0,0,,8,0.0,19,2,2016,0.0,0.0,101
0.0,4.0,0.0,5,0.0,0,,8,0.0,19,2,2016,6.0,2.0,201
0.0,6.0,0.0,5,0.0,0,,9,0.0,19,2,2016,8.0,2.0,101
0.0,4.0,0.0,5,0.0,0,,9,0.0,19,2,2016,6.0,2.0,201
0.0,5.0,0.0,5,1.0,0,,10,0.0,19,2,2016,8.0,2.0,101
0.0,6.0,0.0,5,0.0,0,,10,0.0,19,2,2016,6.0,0.0,201
0.0,6.0,0.0,5,0.0,0,,11,0.0,19,2,2016,6.0,0.0,101
0.0,3.0,0.0,5,0.0,0,,11,0.0,19,2,2016,6.0,3.0,201
0.0,10.0,0.0,1,0.0,0,,1,0.0,22,2,2016,11.0,1.0,101
0.0,10.0,0.0,1,1.0,0,,1,0.0,22,2,2016,14.0,3.0,201
0.0,10.0,0.0,1,2.0,0,,2,0.0,22,2,2016,16.0,4.0,101
0.0,8.0,0.0,1,3.0,0,,2,0.0,22,2,2016,14.0,3.0,201
0.0,9.0,0.0,1,2.0,0,,3,0.0,22,2,2016,16.0,5.0,101
0.0,11.0,0.0,1,0.0,0,,3,0.0,22,2,2016,12.0,1.0,102
0.0,11.0,0.0,1,1.0,0,,3,0.0,22,2,2016,16.0,4.0,201
0.0,11.0,0.0,1,3.0,0,,4,0.0,22,2,2016,18.0,4.0,101
0.0,12.0,0.0,1,0.0,0,,4,0.0,22,2,2016,13.0,1.0,102
0.0,11.0,0.0,1,2.0,0,,4,0.0,22,2,2016,16.0,3.0,201
0.0,13.0,0.0,1,0.0,0,,4,0.0,22,2,2016,13.0,0.0,202
0.0,9.0,0.0,1,2.0,0,,5,0.0,22,2,2016,15.0,4.0,101
0.0,12.0,0.0,1,0.0,0,,5,0.0,22,2,2016,13.0,1.0,102
0.0,21.0,0.0,1,2.0,0,,5,0.0,22,2,2016,30.0,7.0,201
0.0,10.0,0.0,1,2.0,0,,6,0.0,22,2,2016,16.0,4.0,101
0.0,18.0,0.0,1,3.0,0,,6,0.0,22,2,2016,26.0,5.0,201
0.0,11.0,0.0,1,0.0,0,,6,0.0,22,2,2016,11.0,0.0,202
0.0,17.0,0.0,1,0.0,0,,7,0.0,22,2,2016,19.0,2.0,101
0.0,17.0,0.0,1,2.0,0,,7,0.0,22,2,2016,25.0,6.0,201
0.0,10.0,0.0,1,2.0,0,,8,0.0,22,2,2016,14.0,2.0,101
0.0,9.0,0.0,1,0.0,0,,8,0.0,22,2,2016,10.0,1.0,102
0.0,9.0,0.0,1,2.0,0,,8,0.0,22,2,2016,15.0,4.0,201
0.0,5.0,0.0,1,0.0,0,,9,0.0,22,2,2016,7.0,2.0,101
0.0,4.0,0.0,1,0.0,0,,9,0.0,22,2,2016,6.0,2.0,201
0.0,2.0,0.0,1,1.0,0,,10,0.0,22,2,2016,6.0,3.0,101
0.0,5.0,0.0,1,0.0,0,,10,0.0,22,2,2016,8.0,3.0,201
0.0,5.0,0.0,1,0.0,0,,11,0.0,22,2,2016,8.0,3.0,101
0.0,7.0,0.0,1,0.0,0,,11,0.0,22,2,2016,7.0,0.0,201
0.0,6.0,0.0,1,0.0,0,,12,0.0,22,2,2016,8.0,2.0,101
0.0,4.0,0.0,1,0.0,0,,12,0.0,22,2,2016,7.0,3.0,201
0.0,6.0,0.0,1,0.0,0,,13,0.0,22,2,2016,7.0,1.0,101
0.0,6.0,0.0,1,0.0,0,,13,0.0,22,2,2016,8.0,2.0,201
0.0,1.0,0.0,1,2.0,0,,14,0.0,22,2,2016,6.0,3.0,101
0.0,5.0,0.0,1,0.0,0,,14,0.0,22,2,2016,7.0,2.0,102
0.0,6.0,0.0,1,0.0,0,,14,0.0,22,2,2016,7.0,1.0,201
0.0,10.0,0.0,2,2.0,0,,1,0.0,22,2,2016,15.0,3.0,101
0.0,9.0,0.0,2,2.0,0,,1,0.0,22,2,2016,15.0,4.0,201
0.0,9.0,0.0,2,3.0,0,,2,0.0,22,2,2016,15.0,3.0,101
0.0,11.0,0.0,2,0.0,0,,2,0.0,22,2,2016,12.0,1.0,102
0.0,9.0,0.0,2,2.0,0,,2,0.0,22,2,2016,15.0,4.0,201
0.0,13.0,0.0,2,0.0,0,,2,0.0,22,2,2016,13.0,0.0,202
0.0,10.0,0.0,2,2.0,0,,3,0.0,22,2,2016,13.0,1.0,101
0.0,11.0,0.0,2,3.0,0,,3,0.0,22,2,2016,18.0,4.0,201
0.0,10.0,0.0,2,0.0,0,,3,0.0,22,2,2016,10.0,0.0,202
0.0,5.0,0.0,2,2.0,0,,4,0.0,22,2,2016,11.0,4.0,101
0.0,12.0,0.0,2,0.0,0,,4,0.0,22,2,2016,16.0,4.0,201
0.0,9.0,0.0,2,3.0,0,,5,0.0,22,2,2016,15.0,3.0,101
0.0,10.0,0.0,2,0.0,0,,5,0.0,22,2,2016,10.0,0.0,102
0.0,12.0,0.0,2,0.0,0,,5,0.0,22,2,2016,13.0,1.0,201
0.0,6.0,0.0,2,2.0,0,,6,0.0,22,2,2016,11.0,3.0,101
0.0,11.0,0.0,2,0.0,0,,6,0.0,22,2,2016,11.0,0.0,201
0.0,19.0,0.0,2,4.0,0,,7,0.0,22,2,2016,28.0,5.0,101
0.0,11.0,0.0,2,0.0,0,,7,0.0,22,2,2016,15.0,4.0,201
0.0,8.0,0.0,2,2.0,0,,8,0.0,22,2,2016,13.0,3.0,101
0.0,4.0,0.0,2,0.0,0,,9,0.0,22,2,2016,7.0,3.0,101
0.0,2.0,0.0,2,2.0,0,,9,0.0,22,2,2016,7.0,3.0,201
0.0,3.0,0.0,2,2.0,0,,10,0.0,22,2,2016,8.0,3.0,101
0.0,4.0,0.0,2,0.0,0,,10,0.0,22,2,2016,7.0,3.0,201
0.0,7.0,0.0,2,0.0,0,,11,0.0,22,2,2016,7.0,0.0,101
0.0,5.0,0.0,2,0.0,0,,11,0.0,22,2,2016,7.0,2.0,201
0.0,2.0,0.0,2,2.0,0,,12,0.0,22,2,2016,7.0,3.0,101
0.0,4.0,0.0,2,1.0,0,,12,0.0,22,2,2016,8.0,3.0,201
0.0,3.0,0.0,2,0.0,0,,13,0.0,22,2,2016,7.0,4.0,101
0.0,7.0,0.0,2,0.0,0,,13,0.0,22,2,2016,8.0,1.0,201
0.0,2.0,0.0,2,1.0,0,,14,0.0,22,2,2016,6.0,3.0,101
0.0,5.0,0.0,2,0.0,0,,14,0.0,22,2,2016,8.0,3.0,201
0.0,18.0,0.0,3,4.0,0,,1,0.0,22,2,2016,28.0,6.0,101
0.0,10.0,0.0,3,0.0,0,,1,0.0,22,2,2016,11.0,1.0,102
0.0,18.0,0.0,3,4.0,0,,1,0.0,22,2,2016,29.0,7.0,201
0.0,13.0,0.0,3,0.0,0,,1,0.0,22,2,2016,13.0,0.0,202
0.0,12.0,0.0,3,0.0,0,,2,0.0,22,2,2016,14.0,2.0,101
0.0,11.0,0.0,3,0.0,0,,2,0.0,22,2,2016,13.0,2.0,201
0.0,11.0,0.0,3,2.0,0,,3,0.0,22,2,2016,16.0,3.0,101
0.0,12.0,0.0,3,0.0,0,,3,0.0,22,2,2016,14.0,2.0,201
0.0,11.0,0.0,3,2.0,0,,4,0.0,22,2,2016,15.0,2.0,101
0.0,10.0,0.0,3,0.0,0,,4,0.0,22,2,2016,10.0,0.0,102
0.0,18.0,0.0,3,5.0,0,,4,0.0,22,2,2016,29.0,6.0,201
0.0,10.0,0.0,3,2.0,0,,5,0.0,22,2,2016,16.0,4.0,101
0.0,20.0,0.0,3,2.0,0,,5,0.0,22,2,2016,27.0,5.0,201
0.0,10.0,0.0,3,1.0,0,,6,0.0,22,2,2016,15.0,4.0,101
0.0,8.0,0.0,3,2.0,0,,6,0.0,22,2,2016,15.0,5.0,201
0.0,20.0,0.0,3,3.0,0,,7,0.0,22,2,2016,28.0,5.0,101
0.0,20.0,0.0,3,3.0,0,,7,0.0,22,2,2016,29.0,6.0,201
0.0,0.0,0.0,3,0.0,0,,7,0.0,22,2,2016,0.0,0.0,202
0.0,10.0,0.0,3,2.0,0,,8,0.0,22,2,2016,15.0,3.0,101
0.0,16.0,0.0,3,2.0,0,,8,0.0,22,2,2016,23.0,5.0,201
0.0,11.0,0.0,3,0.0,0,,8,0.0,22,2,2016,11.0,0.0,202
0.0,4.0,0.0,3,1.0,0,,9,0.0,22,2,2016,8.0,3.0,101
0.0,7.0,0.0,3,0.0,0,,9,0.0,22,2,2016,7.0,0.0,201
0.0,5.0,0.0,3,0.0,0,,10,0.0,22,2,2016,7.0,2.0,101
0.0,5.0,0.0,3,0.0,0,,10,0.0,22,2,2016,7.0,2.0,201
0.0,3.0,0.0,3,0.0,0,,11,0.0,22,2,2016,6.0,3.0,101
0.0,6.0,0.0,3,0.0,0,,11,0.0,22,2,2016,8.0,2.0,201
0.0,6.0,0.0,3,1.0,0,,12,0.0,22,2,2016,8.0,1.0,101
0.0,5.0,0.0,3,0.0,0,,12,0.0,22,2,2016,7.0,2.0,201
0.0,5.0,0.0,3,0.0,0,,13,0.0,22,2,2016,8.0,3.0,101
0.0,7.0,0.0,3,0.0,0,,13,0.0,22,2,2016,7.0,0.0,201
0.0,4.0,0.0,3,0.0,0,,14,0.0,22,2,2016,7.0,3.0,101
0.0,6.0,0.0,3,0.0,0,,14,0.0,22,2,2016,8.0,2.0,201
0.0,11.0,0.0,4,2.0,0,,1,0.0,22,2,2016,15.0,2.0,101
0.0,12.0,0.0,4,0.0,0,,1,0.0,22,2,2016,15.0,3.0,201
0.0,6.0,0.0,4,0.0,0,,2,0.0,22,2,2016,6.0,0.0,101
0.0,10.0,0.0,4,0.0,0,,2,0.0,22,2,2016,10.0,0.0,201
0.0,10.0,0.0,4,0.0,0,,3,0.0,22,2,2016,13.0,3.0,101
0.0,18.0,0.0,4,0.0,0,,3,0.0,22,2,2016,22.0,4.0,201
0.0,8.0,0.0,4,0.0,0,,4,0.0,22,2,2016,9.0,1.0,101
0.0,9.0,0.0,4,0.0,0,,4,0.0,22,2,2016,11.0,2.0,201
0.0,11.0,0.0,4,0.0,0,,5,0.0,22,2,2016,11.0,0.0,101
0.0,11.0,0.0,4,1.0,0,,5,0.0,22,2,2016,13.0,1.0,201
0.0,12.0,0.0,4,0.0,0,,6,0.0,22,2,2016,12.0,0.0,101
0.0,4.0,0.0,4,1.0,0,,7,0.0,22,2,2016,8.0,3.0,101
0.0,6.0,0.0,4,0.0,0,,7,0.0,22,2,2016,7.0,1.0,201
0.0,7.0,0.0,4,0.0,0,,8,0.0,22,2,2016,8.0,1.0,101
0.0,6.0,0.0,4,0.0,0,,8,0.0,22,2,2016,7.0,1.0,201
0.0,7.0,0.0,4,0.0,0,,9,0.0,22,2,2016,7.0,0.0,101
0.0,23.0,0.0,5,1.0,0,,1,0.0,22,2,2016,33.0,9.0,101
0.0,8.0,0.0,5,0.0,0,,1,0.0,22,2,2016,8.0,0.0,102
0.0,9.0,0.0,5,2.0,0,,1,0.0,22,2,2016,14.0,3.0,201
0.0,13.0,0.0,5,0.0,0,,2,0.0,22,2,2016,13.0,0.0,101
0.0,8.0,0.0,5,0.0,0,,2,0.0,22,2,2016,8.0,0.0,201
0.0,9.0,0.0,5,0.0,0,,3,0.0,22,2,2016,9.0,0.0,101
0.0,11.0,0.0,5,0.0,0,,3,0.0,22,2,2016,14.0,3.0,201
0.0,15.0,2.0,5,2.0,0,,4,0.0,22,2,2016,24.0,5.0,101
0.0,12.0,0.0,5,0.0,0,,4,0.0,22,2,2016,12.0,0.0,102
0.0,11.0,0.0,5,3.0,0,,4,0.0,22,2,2016,17.0,3.0,201
0.0,13.0,0.0,5,0.0,0,,4,0.0,22,2,2016,13.0,0.0,202
0.0,18.0,0.0,5,4.0,0,,5,0.0,22,2,2016,27.0,5.0,101
0.0,14.0,0.0,5,0.0,0,,5,0.0,22,2,2016,14.0,0.0,102
0.0,21.0,3.0,5,5.0,0,,5,0.0,22,2,2016,35.0,6.0,201
0.0,12.0,0.0,5,0.0,0,,5,0.0,22,2,2016,12.0,0.0,202
0.0,10.0,0.0,5,0.0,0,,6,0.0,22,2,2016,13.0,3.0,101
0.0,4.0,0.0,5,3.0,0,,6,0.0,22,2,2016,9.0,2.0,201
0.0,10.0,0.0,5,0.0,0,,6,0.0,22,2,2016,10.0,0.0,202
